addresses,numberOfPositions,availableMargins,totalRequiredMargins,marginLevels
DJMCDiBw1Yim2zJQjSysVXxfftSn5z7vv5Kh8yMFv14C,1.0,9.4243739319924e17,9.274053282217532e17,1016208732600566.1
Dkkob1jrSQQo3jUr2nBiqSPdXRTJsvkd79X2yZq1W212,2.0,3.918058553817433e16,3.684929967379624e16,1063265404906348.2
72ydASQ9fBq9WAQsVWKeqA4ujTqJEu17FGQRcYaVFHki,7.0,9.660214947082432e16,9.071423967319354e16,1064906125199775.9
4jx1MNgbYkXoKeYjGWQ2eyx1aFPGvbd2dbV7386K45gF,1.0,6.034841472175323e16,5.5218259088548216e16,1092906870261488.8
2pafBtnSbzF23pjct87P3BJhMfHr5aom1T4b7ntdPkS2,6.0,1.361130249367195e16,1.24131748206404e16,1096520647646025.6
3KT4PL1e4Ujz6ZCxRGUGYai6QHDBQjZ8zQpvLXvXrjom,1.0,6199938627975366.0,5608590907484904.0,1105436058761441.0
43iDEWZEzvs6hFsxdDBMykgGhBVRS7P2fyzzq6JZJRFA,11.0,4805071257702281.0,4303031942043851.5,1116671064128790.0
Dy8AWZYpBahKGmPemPH3TgvgKLKLR8XXAEa3PXFruf8G,5.0,2.218928294809769e16,1.974739108784845e16,1123656428810581.4
CTynEqMjkiwKR28DY94XbuwFFBS7qjF5TP7Y81ZLvYPG,4.0,7.978466599817595e16,7.048727890436742e16,1131901631589759.8
ChJyz27MhJKU1odhzewfzysSpWBVv2btBXHSdbWcpx66,7.0,3.050081614604401e17,2.6842139987478083e17,1136303445264524.8
71a8JgA4oY7fCfVua4FP2HcHGhDXvkKc2cRTFQdg3AyJ,12.0,1.871225729931998e17,1.6382215440459402e17,1142229960735715.8
8Y4yFfR5iaNfFX3UAVfiMy2pS3s9QjNPexJN7aVFGvrF,5.0,4506937258011515.0,3942734116930396.5,1143099464571650.5
By3oxQfjpfSX8SVNJobFUoJZXKx8dS3a8FvuRQEmQRdZ,7.0,8692557298034394.0,7600388820252202.0,1143699026932934.0
A7giDCifGny8bhV6H6n4iK6bLv9drdpQB1nwjvFjm6eq,5.0,9150254490600914.0,7953939991173814.0,1150405270941772.8
9Gfm3EWAnGdVs2gi6wbuuvpb1hNLxM2NXCCUeeCaFqYu,5.0,1.4760430707690882e16,1.2795707654390268e16,1153545478403182.0
2kekrinrRaYvZ7mKvyDoxWdZtnMFgKD6jJ7SxBsrczXg,4.0,4.970184642975823e16,4.288412668694696e16,1158980029897319.5
GaXDxJZN7aaBSEdYD5CFMGC8HKisLzYHUPmea6eXYzwo,1.0,9588514352636582.0,8271908601384471.0,1159165896856228.5
c5oAAZuhHe1UBDHpePWUJYqkQc9zgAhwc15tZhwe2U5,6.0,8.209290217121556e17,7.062465992532316e17,1162382973001479.0
GxqHGTWLky8tHXj36ygtC9demnAgTss16vKuh1MyHRZq,8.0,1.3121902250053589e17,1.1251622080079582e17,1166223159350974.0
7gUkzEhQtjzhrEtHpW1S12iaNvg8kaS4awghpgUjwhSa,1.0,1.52067902811587e17,1.3034395688010914e17,1166666306988513.8
F5hNztrfqPiovWbDkXLkTTmyPp3VgURtS6xZUK52B4M3,3.0,1.8607080513132964e16,1.5941409891366534e16,1167216741802122.0
6PwFcrxEDsURAwPPRLAsN1y1FUbyJmZGQ7d7geCasAbH,6.0,3752430144857794.5,3213055906661255.0,1167869546582839.8
HRoGXgbd4m9Tpts49gLV7D4dHCasSmM33TB7VRpskTi3,10.0,4463099568041273.5,3820609034858059.0,1168164428058806.5
H1LyDuFSNW7JGSsmKxfAFnX5ZSaJSreVvASdrKiPKFqH,3.0,1.2564245335109733e17,1.071771504318543e17,1172287683007430.8
BLTDu431NKQKPg7kD7EnibxCZCJNAzzXW8vUWnYpVMQW,12.0,4.89626273378564e17,4.164280044669203e17,1175776528298923.0
6CVzn5T72iCQK6ve7knqzFEH5QWRFJ4557pYZz7M3LMa,1.0,3.947135101507948e16,3.354616133525802e16,1176627949189343.0
2JqSUxk2d3qWSipz5d82YdbeAFjbV7VbndyJ1wtSxrq7,11.0,4623900744638447.0,3927806202878070.0,1177222221720185.2
C7zJU9WHe1X5MvswSi9TiA2bFjrYDsDj82sh4ZEkQDmN,1.0,1.3339023672894106e17,1.1313938618790414e17,1178990281133432.2
6sxyWxyK3zA9YKmG8JhFiyTXRo1Fd8QXeyCFoWDHVDPa,1.0,1.1816571802511426e17,1.0017167863518e17,1179632004126312.0
AiBFQ62nKb4Jn2JVUsiRXZDkKt6pftXZHQXrjzXQMBAU,7.0,4156974206522349.5,3523229160329879.5,1179876192365850.2
7uWtCpSwkb4HhfXHSGkuLNAkZv8h1MsmZ3iqoiXp65E2,4.0,1.4475328940498397e17,1.2187726836482072e17,1187697191995536.2
B6qesTKUAtwkbFeT2pdqBgVkHzbjaVuwZKbhNZPpMc5s,12.0,4800537872686792.0,4030684401994757.5,1190998201275952.0
9uEyQLEMwVUFGAgeYTx2KkaTAAZeZEBiWQKvkoY9Fef7,5.0,1.285563908844471e17,1.0768983115940115e17,1193765367634011.0
EiGqTYPavCVR9i3gikoC32mX7ySaL7JS73CgCXvHY2jw,2.0,5.0959773615605384e16,4.260800121666519e16,1196014179507523.8
GyVmTJZwk1EA33LxXY74Lz1S29qFNhZ89LCB5hZTMoxA,3.0,2.682979108020466e16,2.2334982195576176e16,1201245241445446.8
mYEf8KdphcWHyLAb9TLzzx2Uds6ysywwqW4CzrAXVuk,9.0,3994876575318102.0,3323493961050588.5,1202011082955385.8
9JizsTMy4Ur3yC34a9SBeauiEHni66HgnXCGrFasCnjA,7.0,4220157315414925.5,3509409352440136.5,1202526377403251.0
8sepMzLMT1Ffxu321ojX86nwjz6pycitwsiDZdCkD8Jp,5.0,5532242205253803.0,4596061294391370.0,1203691998626055.2
G5r9CFBLUU8uw7omWaNN5hZyH2iCXJ3VEUBW9o382YPv,2.0,3.917397475569981e16,3.2400434126519064e16,1209057094813330.0
56RNCY6t6619ajoTADDRoTZM5RuHn1SaHC6xKVnJh18A,8.0,2.84279773741565e17,2.3362426491703e17,1216824690031769.2
EVyPkHWhVAQqBDGEUBBrKwhhx8tPJACibmXcAHhHwTC7,3.0,4.5762895801914074e17,3.7238852901202144e17,1228901865568387.5
22SdGEfxWuEmZD6NsLGVNUncFxXSAcsYB85tZJabXG1X,2.0,6.763812229200634e16,5.483342279720934e16,1233519974526351.5
CAvCmFNpDd6o7oyy8HcYKeYf4nm8vPaQ1r6vr7991VK4,6.0,1.258499785122776e17,1.017812830812779e17,1236474671003897.0
B8dfPqWMZGoCEd1KaEUqBEjsWvpL7nxwbcVkn8DY2qy3,2.0,4621369833539428.0,3728148558928379.0,1239588433908276.8
5RrphgpKnvjctppYTASz3cgcNw1T3zWUpHNfrdTBmkuN,5.0,2654523794318299.5,2140403490128701.0,1240197844266589.5
F7tje1W1dfoZJhWW5qUu4phsxp1KFozz3yuZ7x5exYKz,4.0,9.70847568940609e16,7.795023317702267e16,1245471026027392.0
6Ybq2yjN2NJY9VFtj3qAca2gN7j4qGmVLrVUPDyWuMA5,8.0,4008402013574401.5,3213878748272060.5,1247216316337234.5
8iJD189CkcLsymaGadkuEwDY4dLc3tKmJHjjimZ6qc2H,1.0,5.51768592124053e16,4.418581918707044e16,1248745869773328.5
9hsQD9aR3FK95TqMzgj4ekXyWpyqPBRwiRU1qoNdcurQ,4.0,2508056081301374.5,2006840535496441.8,1249753548894180.0
57dbqFqb22QBhzKHH4MoxcrxsdXcUkC5WVqebAsWNjjQ,5.0,6.9106516884886776e16,5.526592840253244e16,1250436188849405.5
DwUVX7q7KyMv6ZZRtx8Xu1z6vrZWKCA3TU8dXc5AqrY3,4.0,5.801748386355108e16,4.632789671578356e16,1252322854617852.0
9do4vHQm5bHmNCVeAbxU3U6pEn2fjJks89CDV3ycVnXf,6.0,3844855425648296.5,3065633336512140.5,1254179806781035.2
DFpdkyg5HLQUGYjGdxjnhUPxWvEqn17jM1mNu6hVmNo1,6.0,1.2368941729499788e16,9842093725238134.0,1256738868253413.0
9XVKUoEJnMvBZGxcv3ZHvsScX66nepwvYTHmDPPgntxB,6.0,3325218867405298.0,2643801698338116.0,1257741406814103.5
3YZCZHhDMm8RJHdTtBNbxitC5r7EeAe722A7Xm5KsDim,4.0,7324006840722418.0,5805353738762506.0,1261595274000242.8
Ev4bd1vHTWK2qLapua8o3AKHyGkvogcvbFmtmiuq2HQm,1.0,1.3329687777855002e16,1.0563895508616306e16,1261815564815348.0
7WmeauKhuTHYbE5XXGWEPKA6dRvYtmLrXNvHsZZtoF3w,6.0,6.77371459127976e17,5.3593626257409056e17,1263903016889686.0
6JMTZsixy2oGG86CyJpZaTFPKwNyYjasVb4JS7Ehn4BR,10.0,1.9960073930380714e17,1.5785293322658554e17,1264472792642351.0
5HaA8YxRSH5a4VpZNJnUPCznGtLZc4MntqQGwC5uPBxE,7.0,3596601937570827.0,2840009871207091.5,1266404731206853.2
BLLQqH9Anu5wtwkEBeWuuFdpJDvbCbowmfCVsVNT9Fzu,9.0,1.8199742757651098e17,1.4354615437496547e17,1267866968425393.2
7JHcuGddzJ2w1HzJPX9kpXSnYx9FthFsQ4mEEujPqGet,4.0,1.0219427906751164e16,7972823800586676.0,1281782736249504.5
46QejU4ndTEspc5roYswTQNpG6bGzPzBpzkR5xHEePPN,6.0,1.8793738775068724e16,1.4620802530859586e16,1285410888725258.2
9GCZhBLXUaPEJFuTrbY2QJZNVFJkEtN7dSXHuUQVrEm9,6.0,7.686179300368208e16,5.972274315999831e16,1286976936035371.5
9DrkS2ShdgTnYajRGH6GaFAfMmCAnFH4xJd1wz84BCtV,2.0,1.9723211465633334e17,1.5284023539951325e17,1290446289491657.5
FQR2oka3xf3uHEriCuCCurCSacNYj62KM7Cjv2TfmdhA,2.0,5.349096669506842e16,4.144772556259437e16,1290564583918756.5
24rGYT5NDczJamrKPD89a6iLNVrk1AGRFDxXiUKEuUwG,7.0,4701959979626593.0,3629488984908648.5,1295488152513276.8
CEBTbMZp8HF8ZvmucnThNTu4DPQQLPRWQxFS3qNFVhFz,7.0,9.792941795733077e16,7.555902368958512e16,1296065157745402.8
7aF8cU2Y9iRwaa5xJfyUJDcZzmgvXLQWNXUNrKXzgQiD,6.0,3395417591673809.5,2610172752704072.5,1300840179316194.2
6wFPqFGdJGkkh8dySRs8CGfZ93tQuc6wZKP9tY4mrJUG,3.0,3.94740736331896e17,3.0293967666821926e17,1303034124395061.0
9DeKk6W96ciP1kqozGG11NrkGkj6vG4qoQqYvkGAqkux,3.0,1.855721510502968e16,1.4241337242372996e16,1303052851653244.2
2J5UazxxEz8SjUh8NBjzcchqDtyLUfkawyRyyGDWJgby,10.0,1.9336221977073626e18,1.483061152089622e18,1303804765557309.2
CJ2YH7AE4J8UVy3CaLPn5Td9bPiFMCYsW47p2CmgRrLu,2.0,5.703844665121515e17,4.3730147843136237e17,1304327779906368.2
8qscGDNoTEApCJ9ChJa8w5nS4iiZDYis8fdB7CTnwmFG,5.0,3.030569680281876e17,2.3228490923575744e17,1304677815813682.8
